序号,字,拼音,组词1,组词1拼音,组词2,组词2拼音,备注
109,面,miàn,方面,fāng miàn,里面,lǐ miàn,
110,很,hěn,很多,hěn duō,很大,hěn dà,
111,心,xīn,中心,zhōng xīn,关心,guān xīn,
112,间,jiān / jiàn,时间,shí jiān,之间,zhī jiān,
113,区,qū / ōu,地区,dì qū,小区,xiǎo qū,
114,内,nèi,国内,guó nèi,内部,nèi bù,
115,电,diàn,电子,diàn zi,电影,diàn yǐng,
116,然,rán,然后,rán hòu,当然,dāng rán,
117,力,lì,能力,néng lì,实力,shí lì,
118,起,qǐ,起来,qǐ lái,一起,yì qǐ,
119,体,tǐ / tī,体现,tǐ xiàn,媒体,méi tǐ,
120,只,zhǐ / zhī,只是,zhǐ shì,只有,zhí yǒu,
121,着,zhe / zhāo / zháo,看着,kàn zhe,有着,yǒu zhe,
122,从,cóng,从事,cóng shì,从而,cóng ér,
123,并,bìng / bīng,并用,bìng yòng,并且,bìng qiě,
124,者,zhě,作者,zuò zhě,学者,xué zhě,
125,高,gāo,最高,zuì gāo,高中,gāo zhōng,
126,加,jiā,加上,jiā shàng,参加,cān jiā,
127,想,xiǎng,想要,xiǎng yào,不想,bù xiǎng,
128,文,wén,文学,wén xué,中文,zhōng wén,
129,问,wèn,问问,wèn wèn,问题,wèn tí,
130,种,zhǒng / zhòng,这种,zhè zhǒng,一种,yì zhǒng,
131,员,yuán,人员,rén yuán,成员,chéng yuán,
132,重,zhòng / chóng,重要,zhòng yào,重新,chóng xīn,
133,及,jí,以及,yǐ jí,及其,jí qí,
134,点,diǎn,一点,yì diǎn,重点,zhòng diǎn,
135,将,jiāng / jiàng / qiāng,将会,jiāng huì,将来,jiāng lái,
136,意,yì,同意,tóng yì,注意,zhù yì,
137,合,hé / gě,合作,hé zuò,合法,hé fǎ,
138,产,chǎn,生产,shēng chǎn,产生,chǎn shēng,
139,三,sān,三个,sān gè,三年,sān nián,
140,外,wài,外国,wài guó,国外,guó wài,
141,由,yóu,由于,yóu yú,自由,zì yóu,
142,市,shì,市长,shì zhǎng,上市,shàng shì,
143,无,wú / mó,无法,wú fǎ,无关,wú guān,
144,女,nǚ / rǔ,女人,nǚ rén,女子,nǘ zǐ,
145,已,yǐ,已经,yǐ jīng,而已,ér yǐ,
146,制,zhì,制作,zhì zuò,体制,tǐ zhì,
147,网,wǎng,网上,wǎng shàng,网站,wǎng zhàn,
148,第,dì,第一,dì yī,第三,dì sān,
149,情,qíng,事情,shì qíng,心情,xīn qíng,
150,场,chǎng / cháng,市场,shì chǎng,现场,xiàn chǎng,
151,名,míng,一名,yī míng,名为,míng wèi,
152,应,yīng / yìng,应用,yìng yòng,应当,yīng dāng,
153,西,xī,西方,xī fāng,西部,xī bù,
154,代,dài,时代,shí dài,年代,nián dài,
155,正,zhèng / zhēng,正在,zhèng zài,正是,zhèng shì,
156,表,biǎo,代表,dài biǎo,表现,biǎo xiàn,
157,真,zhēn,真的,zhēn de,真正,zhēn zhèng,
158,此,cǐ,因此,yīn cǐ,如此,rú cǐ,
159,位,wèi,一位,yī wèi,位于,wèi yú,
160,题,tí,问题,wèn tí,主题,zhǔ tí,
161,相,xiāng / xiàng,相关,xiāng guān,相当,xiāng dāng,
162,明,míng,说明,shuō míng,明天,míng tiān,
163,资,zī,资本,zī běn,资产,zī chǎn,
164,计,jì,计划,jì huà,设计,shè jì,
165,建,jiàn,建成,jiàn chéng,重建,chóng jiàn,
166,利,lì,利用,lì yòng,意大利,yì dà lì,
167,系,xì / jì,关系,guān xì,体系,tǐ xì,
168,化,huà / huā,文化,wén huà,化学,huà xué,
169,期,qī,时期,shí qī,期间,qī jiān,
170,特,tè,特点,tè diǎn,特定,tè dìng,
171,性,xìng,女性,nǚ xìng,个性,gè xìng,
172,度,dù / duó,制度,zhì dù,高度,gāo dù,
173,果,guǒ,如果,rú guǒ,成果,chéng guǒ,
174,次,cì,一次,yī cì,这次,zhè cì,
175,给,gěi / jǐ,给出,gěi chū,给予,jí yǔ,
176,让,ràng,不让,bú ràng,就让,jiù ràng,
177,两,liǎng,两个,liǎng gè,两年,liǎng nián,
178,通,tōng / tòng,通过,tōng guò,交通,jiāo tōng,
179,教,jiào / jiāo,教学,jiào xué,教会,jiào huì,
180,任,rèn / rén,主任,zhǔ rèn,现任,xiàn rèn,
181,比,bǐ,比如,bǐ rú,相比,xiāng bǐ,
182,该,gāi,应该,yīng gāi,不该,bù gāi,
183,东,dōng,东西,dōng xī,东方,dōng fāng,
184,活,huó,活动,huó dòng,生活,shēng huó,
185,手,shǒu,手机,shǒu jī,手中,shǒu zhōng,
186,世,shì,去世,qù shì,世上,shì shàng,
187,提,tí / dī,提出,tí chū,提高,tí gāo,
188,或,huò,或者,huò zhě,或是,huò shì,
189,使,shǐ,使用,shǐ yòng,使得,shǐ de,
190,她,tā,她们,tā men,她家,tā jiā,
191,物,wù,人物,rén wù,动物,dòng wù,
192,数,shù / shǔ / shuò,人数,rén shù,多数,duō shù,
193,立,lì,建立,jiàn lì,成立,chéng lì,
194,认,rèn,认为,rèn wéi,认真,rèn zhēn,
195,怎,zěn,怎么,zěn me,怎样,zěn yàng,
196,知,zhī,知道,zhī dào,通知,tōng zhī,
197,结,jié / jiē,结果,jié guǒ,结合,jié hé,
198,入,rù,进入,jìn rù,加入,jiā rù,
199,更,gèng / gēng,更加,gèng jiā,更新,gēng xīn,
200,总,zǒng,总是,zǒng shì,总理,zǒng lǐ,
201,务,wù,任务,rèn wù,业务,yè wù,
202,话,huà,电话,diàn huà,的话,de huà,
203,斯,sī,斯特,sī tè,俄罗斯,é luó sī,
204,统,tǒng,系统,xì tǒng,总统,zǒng tǒng,
205,目,mù,目前,mù qián,目的,mù dì,
206,社,shè,社会,shè huì,社区,shè qū,
207,展,zhǎn,发展,fā zhǎn,开展,kāi zhǎn,
208,战,zhàn,作战,zuò zhàn,大战,dà zhàn,
209,做,zuò,做出,zuò chū,做到,zuò dào,
210,设,shè,建设,jiàn shè,设计,shè jì,
211,安,ān,安全,ān quán,公安,gōng ān,
212,别,bié / biè,特别,tè bié,别人,bié rén,
213,信,xìn,相信,xiāng xìn,信任,xìn rèn,
214,影,yǐng,电影,diàn yǐng,影响,yǐng xiǎng,
215,己,jǐ,自己,zì jǐ,知己,zhī jǐ,
216,受,shòu,受到,shòu dào,接受,jiē shòu,
217,解,jiě / jiè / xiè,了解,liáo jiě,理解,lǐ jiě,
218,军,jūn,军事,jūn shì,将军,jiāng jūn,
219,司,sī,公司,gōng sī,司法,sī fǎ,
220,回,huí,回来,huí lái,回到,huí dào,
221,把,bǎ / bà,一把,yī bǎ,把手,bá shǒu,
222,保,bǎo,保护,bǎo hù,保证,bǎo zhèng,
223,平,píng,和平,hé píng,公平,gōng píng,
224,常,cháng,经常,jīng cháng,正常,zhèng cháng,
225,见,jiàn / xiàn,意见,yì jiàn,看见,kàn jiàn,
226,向,xiàng,方向,fāng xiàng,面向,miàn xiàng,
227,海,hǎi,上海,shàng hǎi,海外,hǎi wài,
228,变,biàn,变化,biàn huà,变成,biàn chéng,
229,报,bào,报道,bào dào,日报,rì bào,
230,治,zhì,政治,zhèng zhì,统治,tǒng zhì,
231,台,tái / tāi,平台,píng tái,电台,diàn tái,
232,爱,ài,爱情,ài qíng,可爱,kě ài,
233,品,pǐn,产品,chǎn pǐn,作品,zuò pǐn,
234,北,běi,东北,dōng běi,北部,běi bù,
235,何,hé,如何,rú hé,任何,rèn hé,
236,接,jiē,接受,jiē shòu,接着,jiē zhe,
237,界,jiè,世界,shì jiè,全世界,quán shì jiè,
238,论,lùn / lún,理论,lǐ lùn,无论,wú lùn,
239,组,zǔ,组成,zǔ chéng,小组,xiǎo zǔ,
240,件,jiàn,事件,shì jiàn,文件,wén jiàn,
241,权,quán,权利,quán lì,权力,quán lì,
242,选,xuǎn,当选,dāng xuǎn,选手,xuǎn shǒu,
243,府,fǔ,政府,zhèng fǔ,市政府,shì zhèng fǔ,
244,议,yì,会议,huì yì,建议,jiàn yì,
245,少,shǎo / shào,多少,duō shǎo,不少,bù shǎo,
246,它,tā,它们,tā men,其它,qí tā,
247,共,gòng,共同,gòng tóng,公共,gōng gòng,
248,运,yùn,运动,yùn dòng,运用,yùn yòng,
249,车,chē / jū,开车,kāi chē,车上,chē shàng,
250,至,zhì,至少,zhì shǎo,至于,zhì yú,
251,记,jì,记者,jì zhě,记得,jì de,
252,又,yòu,又名,yòu míng,又称,yòu chēng,
253,原,yuán,原因,yuán yīn,原来,yuán lái,
254,金,jīn,资金,zī jīn,现金,xiàn jīn,
255,身,shēn,身体,shēn tǐ,身上,shēn shàng,
256,式,shì,方式,fāng shì,正式,zhèng shì,
257,老,lǎo,老人,lǎo rén,老公,lǎo gōng,
258,路,lù,道路,dào lù,公路,gōng lù,
259,决,jué,决定,jué dìng,解决,jiě jué,
260,科,kē,科学,kē xué,学科,xué kē,
261,联,lián,联系,lián xì,联合,lián hé,
262,视,shì,电视,diàn shì,重视,zhòng shì,
263,口,kǒu,人口,rén kǒu,出口,chū kǒu,
264,处,chù / chǔ,处理,chú lǐ,处于,chǔ yú,
265,各,gè,各种,gè zhǒng,各国,gè guó,
266,持,chí,保持,bǎo chí,主持,zhǔ chí,
267,站,zhàn,网站,wǎng zhàn,车站,chē zhàn,
268,量,liàng / liáng,力量,lì liàng,大量,dà liàng,
269,交,jiāo,交通,jiāo tōng,外交,wài jiāo,
270,万,wàn / mò,万人,wàn rén,万一,wàn yī,
271,直,zhí,一直,yì zhí,直接,zhí jiē,
272,反,fǎn,反对,fǎn duì,反应,fǎn yìng,
273,南,nán / nā,南部,nán bù,南方,nán fāng,
274,打,dǎ / dá,打开,dǎ kāi,打电话,dǎ diàn huà,
275,据,jù / jū,数据,shù jù,据说,jù shuō,
276,基,jī,基本,jī běn,基地,jī dì,
277,始,shǐ,开始,kāi shǐ,原始,yuán shǐ,
278,再,zài,不再,bú zài,再次,zài cì,
279,快,kuài,很快,hěn kuài,加快,jiā kuài,
280,水,shuǐ,水平,shuǐ píng,水果,shuǐ guǒ,
281,门,mén,部门,bù mén,门口,mén kǒu,
282,十,shí,十分,shí fēn,十年,shí nián,
283,感,gǎn,感到,gǎn dào,感受,gǎn shòu,
284,程,chéng,过程,guò chéng,工程,gōng chéng,
285,导,dǎo,报导,bào dǎo,领导,lǐng dǎo,
286,传,chuán / zhuàn,传统,chuán tǒng,传说,chuán shuō,
287,院,yuàn,学院,xué yuàn,法院,fǎ yuàn,
288,才,cái,才能,cái néng,人才,rén cái,
289,放,fàng,开放,kāi fàng,放在,fàng zài,
290,今,jīn,今天,jīn tiān,今年,jīn nián,
291,术,shù / zhú,学术,xué shù,手术,shǒu shù,
292,强,qiáng / jiàng / qiǎng,加强,jiā qiáng,强大,qiáng dà,
293,元,yuán,美元,měi yuán,万元,wàn yuán,
294,完,wán,完全,wán quán,完成,wán chéng,
295,号,hào / háo,信号,xìn hào,口号,kǒu hào,
296,图,tú,地图,dì tú,图片,tú piàn,
297,规,guī,规定,guī dìng,法规,fǎ guī,
298,改,gǎi,改变,gǎi biàn,改进,gǎi jìn,
299,管,guǎn,管理,guǎn lǐ,不管,bù guǎn,
300,划,huà / huá,计划,jì huà,规划,guī huà,
301,亚,yà,东亚,dōng yà,西亚,xī yà,
302,领,lǐng,领导,lǐng dǎo,领导人,lǐng dǎo rén,
303,际,jì,国际,guó jì,实际,shí jì,
304,单,dān / chán / shàn,单位,dān wèi,名单,míng dān,
305,头,tóu / tou,头发,tóu fà,回头,huí tóu,
306,二,èr,第二,dì èr,二人,èr rén,
307,尔,ěr,比尔,bǐ ěr,偶尔,ǒu ěr,
308,需,xū,需要,xū yào,无需,wú xū,
309,布,bù,发布,fā bù,公布,gōng bù,
310,达,dá,达到,dá dào,表达,biǎo dá,
311,队,duì,军队,jūn duì,部队,bù duì,
312,片,piàn / piān,图片,tú piàn,影片,yǐng piàn,
313,求,qiú,要求,yāo qiú,需求,xū qiú,
314,非,fēi,非常,fēi cháng,非法,fēi fǎ,
315,历,lì,经历,jīng lì,学历,xué lì,
316,每,měi,每个,měi gè,每天,měi tiān,
317,书,shū,书记,shū jì,本书,běn shū,
318,指,zhǐ,指出,zhǐ chū,指导,zhǐ dǎo,
319,马,mǎ,马上,mǎ shàng,马路,mǎ lù,
320,广,guǎng / yǎn,广场,guáng chǎng,广大,guǎng dà,
321,党,dǎng,共产党,gòng chán dǎng,政党,zhèng dǎng,
322,几,jǐ / jī,几个,jǐ gè,几天,jǐ tiān,
323,太,tài,太太,tài tài,不太,bù tài,
324,先,xiān,先生,xiān shēng,先进,xiān jìn,
325,带,dài,带来,dài lái,一带,yī dài,
326,游,yóu,游行,yóu xíng,下游,xià yóu,
327,城,chéng,城市,chéng shì,城区,chéng qū,
328,办,bàn,办法,bàn fǎ,怎么办,zěn me bàn,
329,球,qiú,全球,quán qiú,地球,dì qiú,
330,色,sè / shǎi,特色,tè sè,角色,jué sè,
331,觉,jué / jiào,觉得,jué de,感觉,gǎn jué,
332,义,yì,意义,yì yì,主义,zhǔ yì,
333,级,jí,高级,gāo jí,一级,yī jí,
334,师,shī,老师,lǎo shī,教师,jiào shī,
335,专,zhuān,专业,zhuān yè,专家,zhuān jiā,
336,类,lèi,人类,rén lèi,分类,fēn lèi,
337,约,yuē / yāo,大约,dà yuē,约定,yuē dìng,
338,集,jí,集中,jí zhōng,集体,jí tǐ,
339,告,gào,报告,bào gào,广告,guǎng gào,
340,技,jì,技术,jì shù,科技,kē jì,
341,团,tuán,集团,jí tuán,团体,tuán tǐ,
342,取,qǔ,取得,qǔ dé,取代,qǔ dài,
343,儿,ér,儿子,ér zi,女儿,nǚ ér,
344,参,cān / cēn / shēn,参加,cān jiā,参与,cān yù,
345,克,kè,马克,mǎ kè,克斯,kè sī,
346,史,shǐ,历史,lì shǐ,史上,shǐ shàng,
347,服,fú / fù,服务,fú wù,说服,shuō fú,
348,格,gé / gē,资格,zī gé,性格,xìng gé,
349,候,hòu,时候,shí hòu,候选人,hòu xuǎn rén,
350,调,diào / tiáo,强调,qiáng diào,调教,tiáo jiào,
351,包,bāo,面包,miàn bāo,包括,bāo kuò,
352,请,qǐng,请求,qǐng qiú,请问,qǐng wèn,
353,德,dé,德国,dé guó,道德,dào dé,
354,必,bì,必要,bì yào,必然,bì rán,
355,拉,lā / lá / là,克拉,kè lā,拉美,lā měi,
356,乐,lè / yuè,快乐,kuài lè,乐团,yuè tuán,
357,许,xǔ,许多,xǔ duō,也许,yé xǔ,
358,造,zào,造成,zào chéng,制造,zhì zào,
359,确,què,确定,què dìng,确实,què shí,
360,气,qì,天气,tiān qì,气候,qì hòu,
361,难,nán / nàn,难道,nán dào,难以,nán yǐ,
362,吧,ba / bā,看吧,kàn ba,网吧,wǎng ba,
363,收,shōu,收入,shōu rù,收到,shōu dào,
364,证,zhèng,证明,zhèng míng,保证,bǎo zhèng,
365,称,chēng / chèn / chèng,称为,chēng wéi,名称,míng chēng,
366,语,yǔ / yù,日语,rì yǔ,法语,fá yǔ,
367,山,shān,山区,shān qū,中山,zhōng shān,
368,死,sǐ,死者,sǐ zhě,死去,sǐ qù,
369,线,xiàn,路线,lù xiàn,在线,zài xiàn,
370,示,shì,表示,biǎo shì,展示,zhǎn shì,
371,条,tiáo,条件,tiáo jiàn,一条,yì tiáo,
372,像,xiàng,好像,hǎo xiàng,像是,xiàng shì,
373,流,liú,交流,jiāo liú,流行,liú xíng,
374,命,mìng,生命,shēng mìng,命运,mìng yùn,
375,根,gēn,根据,gēn jù,根本,gēn běn,
376,则,zé,原则,yuán zé,规则,guī zé,
377,近,jìn,最近,zuì jìn,接近,jiē jìn,
378,济,jì / jǐ,经济,jīng jì,经济学,jīng jì xué,
379,京,jīng,北京,běi jīng,南京,nán jīng,
380,听,tīng / yǐn,听到,tīng dào,听说,tīng shuō,
381,英,yīng,英国,yīng guó,英语,yīng yǔ,
382,士,shì,人士,rén shì,女士,nǚ shì,
383,价,jià / jie / jiè,价格,jià gé,代价,dài jià,
384,推,tuī,推动,tuī dòng,推出,tuī chū,
385,标,biāo,目标,mù biāo,指标,zhǐ biāo,
386,举,jǔ,举行,jǔ xíng,选举,xuǎn jǔ,
387,争,zhēng,战争,zhàn zhēng,争取,zhēng qǔ,
388,友,yǒu,网友,wǎng yǒu,女友,nǚ yǒu,
389,干,gàn / gān,干部,gàn bù,干什么,gàn shén me,
390,支,zhī,支持,zhī chí,一支,yī zhī,
391,委,wěi / wēi,委员会,wěi yuán huì,委员,wěi yuán,
392,四,sì,四个,sì gè,第四,dì sì,
393,续,xù,持续,chí xù,手续,shǒu xù,
394,况,kuàng,情况,qíng kuàng,何况,hé kuàng,
395,准,zhǔn,标准,biāo zhǔn,准确,zhǔn què,
396,形,xíng,形成,xíng chéng,形式,xíng shì,
397,男,nán,男人,nán rén,男子,nán zi,
398,望,wàng,期望,qī wàng,指望,zhǐ wàng,
399,官,guān,官方,guān fāng,官员,guān yuán,
400,且,qiě,而且,ér qiě,并且,bìng qiě,
401,走,zǒu,走向,zǒu xiàng,走出,zǒu chū,
402,失,shī,失去,shī qù,失望,shī wàng,
403,言,yán,语言,yǔ yán,而言,ér yán,
404,备,bèi,准备,zhǔn bèi,设备,shè bèi,
405,容,róng,内容,nèi róng,形容,xíng róng,
406,观,guān / guàn,观点,guān diǎn,观看,guān kàn,
407,华,huá / huà / huā,中华,zhōng huá,华人,huá rén,
408,港,gǎng,港口,gáng kǒu,港元,gǎng yuán,
409,质,zhì,质量,zhì liàng,物质,wù zhì,
410,案,àn,方案,fāng àn,案件,àn jiàn,
411,钱,qián,金钱,jīn qián,有钱,yǒu qián,
412,查,chá / zhā,调查,diào chá,查看,chá kàn,
413,整,zhěng,整个,zhěng gè,调整,tiáo zhěng,
414,未,wèi,未来,wèi lái,从未,cóng wèi,
415,费,fèi,费用,fèi yòng,收费,shōu fèi,
416,空,kōng / kòng,空间,kōng jiān,空气,kōng qì,
417,转,zhuǎn / zhuàn / zhuǎi,转变,zhuǎn biàn,转化,zhuǎn huà,
418,较,jiào,比较,bǐ jiào,较为,jiào wéi,
419,众,zhòng,公众,gōng zhòng,民众,mín zhòng,
420,神,shén,女神,nǚ shén,神经,shén jīng,
421,商,shāng,商业,shāng yè,商品,shāng pǐn,
422,风,fēng,风格,fēng gé,台风,tái fēng,
423,校,xiào / jiào,学校,xué xiào,校长,xiào zhǎng,
424,字,zì,名字,míng zì,数字,shù zì,
425,香,xiāng,香港,xiāng gǎng,香水,xiāng shuǐ,
426,啊,a / ā / á,啊哈,a hā,啊呀,a ya,
427,首,shǒu,首先,shǒu xiān,首次,shǒu cì,
428,州,zhōu,加州,jiā zhōu,州长,zhōu zhǎng,
429,料,liào,资料,zī liào,原料,yuán liào,
430,育,yù,教育,jiào yù,体育,tǐ yù,
431,创,chuàng / chuāng,创新,chuàng xīn,创造,chuàng zào,
432,织,zhī,组织,zǔ zhī,交织,jiāo zhī,
433,却,què,却是,què shì,却说,què shuō,
434,照,zhào,照片,zhào piān,对照,duì zhào,
435,亲,qīn / qìng,亲自,qīn zì,亲爱,qīn ài,
436,识,shí / zhì,认识,rèn shí,知识,zhī shí,
437,消,xiāo,取消,qǔ xiāo,消费,xiāo fèi,
438,研,yán,研发,yán fā,科研,kē yán,
439,离,lí / chī,离开,lí kāi,分离,fēn lí,
440,具,jù,具有,jù yǒu,工具,gōng jù,
441,算,suàn,计算,jì suàn,打算,dǎ suàn,
442,欢,huān,欢乐,huān lè,喜欢,xǐ huān,
443,哪,nǎ / na / né,哪里,ná lǐ,哪个,nǎ ge,
444,型,xíng,大型,dà xíng,类型,lèi xíng,
445,注,zhù,注意,zhù yì,关注,guān zhù,
446,源,yuán,资源,zī yuán,来源,lái yuán,
447,护,hù,保护,bǎo hù,护士,hù shì,
448,连,lián,连续,lián xù,连结,lián jié,
449,节,jié / jiē,节目,jié mù,情节,qíng jié,
450,周,zhōu,周年,zhōu nián,一周,yī zhōu,
451,即,jí,即使,jí shǐ,立即,lì jí,
452,投,tóu,投资,tóu zī,投入,tóu rù,
453,获,huò,获得,huò dé,获取,huò qǔ,
454,音,yīn,音乐,yīn yuè,语音,yǔ yīn,
455,清,qīng,清理,qīng lǐ,高清,gāo qīng,
456,增,zēng,增加,zēng jiā,增长,zēng zhǎng,
457,供,gōng / gòng,提供,tí gōng,供应,gōng yìng,
458,五,wǔ,五年,wǔ nián,五月,wǔ yuè,
459,孩,hái,孩子,hái zi,女孩,nǚ hái,
460,光,guāng,时光,shí guāng,光明,guāng míng,
461,项,xiàng,项目,xiàng mù,一项,yī xiàng,
462,张,zhāng,主张,zhǔ zhāng,一张,yī zhāng,
463,息,xī,信息,xìn xī,消息,xiāo xī,
464,白,bái,明白,míng bái,白色,bái sè,
465,构,gòu,机构,jī gòu,结构,jié gòu,
466,省,shěng / xǐng,全省,quán shěng,省级,shěng jí,
467,律,lǜ,法律,fǎ lǜ,规律,guī lǜ,
468,声,shēng,声音,shēng yīn,声明,shēng míng,
469,演,yǎn,表演,biǎo yǎn,导演,dǎo yǎn,
470,农,nóng,农业,nóng yè,农民,nóng mín,
471,究,jiū,研究,yán jiū,研究所,yán jiū suǒ,
472,器,qì,机器,jī qì,机器人,jī qì rén,
473,边,biān / bian,身边,shēn biān,一边,yī biān,
474,步,bù,进步,jìn bù,进一步,jìn yí bù,
475,喜,xǐ,喜欢,xǐ huān,喜爱,xǐ ài,
476,局,jú,当局,dāng jú,局长,jú zhǎng,
477,医,yī,医院,yī yuàn,医生,yī shēng,
